STOCK,HOLDER NAME, SHARES 
BLOOM PM Equity,"CLSA PHILIPPINES, INC."," 10,100.00 "
BLOOM PM Equity,DW CAPITAL INC.," 5,400,000.00 "
BLOOM PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 20,984,168.00 "
BLOOM PM Equity,UNICAPITAL SECURITIES INC.," 13,097,090.00 "
BLOOM PM Equity,"SunSecurities, Inc."," 307,200.00 "
BLOOM PM Equity,"COHERCO SECURITIES, INC."," 5,000.00 "
BLOOM PM Equity,"ARMSTRONG SECURITIES, INC."," 340,000.00 "
BLOOM PM Equity,"TIMSON SECURITIES, INC."," 886,300.00 "
BLOOM PM Equity,STAR ALLIANCE SECURITIES CORP.," 2,608,600.00 "
BLOOM PM Equity,VC SECURITIES CORPORATION," 4,797,000.00 "
BLOOM PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 3,006,700.00 "
BLOOM PM Equity,CITIBANK N.A.," 330,232,609.00 "
BLOOM PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 76,698,957.00 "
BLOOM PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 23,135,080.00 "
BLOOM PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP," 1,116,800.00 "
BLOOM PM Equity,PNB TRUST BANKING GROUP," 3,270,344.00 "
BLOOM PM Equity,RCBC TRUST CORPORATION," 2,806,960.00 "
BLOOM PM Equity,RCBC TRUST CORPORATION," 1,921,380.00 "
BLOOM PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 49,913,084.00 "
BLOOM PM Equity,STANDARD CHARTERED BANK," 600,748,579.00 "
BLOOM PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 642,782,160.00 "
BLOOM PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 2,780,600.00 "
BLOOM PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 156,400.00 "
BLOOM PM Equity,MBTC - TRUST BANKING GROUP," 12,796,400.00 "
BLOOM PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 367,899,065.00 "
BLOOM PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 124,632,245.00 "
BLOOM PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 6,961,205.00 "
BLOOM PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 1,327,500.00 "
BLOOM PM Equity,"UCPB GENERAL INSURANCE CO., INC."," 100,000.00 "
BLOOM PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 7,778,338.00 "
BLOOM PM Equity,"UNITED FUND, INC."," 976,400.00 "
BLOOM PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 251,200.00 "
WLCON PM Equity,STANDARD CHARTERED BANK ," 277,585,219.00 "
WLCON PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT. ," 254,407,255.00 "
WLCON PM Equity,"S.J. ROXAS & CO., INC. "," 168,773,100.00 "
WLCON PM Equity,CITIBANK N.A. ," 150,917,949.00 "
WLCON PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM ," 116,953,900.00 "
WLCON PM Equity,IGC SECURITIES INC. ," 100,369,398.00 "
WLCON PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C ," 69,460,062.00 "
WLCON PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C ," 55,526,203.00 "
WLCON PM Equity,BANCO DE ORO - TRUST BANKING GROUP ," 31,421,036.00 "
WLCON PM Equity,"R. NUBLA SECURITIES, INC. "," 29,802,900.00 "
WLCON PM Equity,SOCIAL SECURITY SYSTEM ," 22,315,900.00 "
WLCON PM Equity,FIRST METRO SECURITIES BROKERAGE CORP. ," 18,658,679.00 "
WLCON PM Equity,BDO SECURITIES CORPORATION ," 11,314,828.00 "
WLCON PM Equity,"COL Financial Group, Inc. "," 11,305,416.00 "
WLCON PM Equity,"AB CAPITAL SECURITIES, INC. "," 11,264,582.00 "
WLCON PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV. ," 10,824,800.00 "
WLCON PM Equity,ABACUS SECURITIES CORPORATION ," 6,381,251.00 "
WLCON PM Equity,MBTC - TRUST BANKING GROUP ," 4,319,200.00 "
WLCON PM Equity,"WEALTH SECURITIES, INC. "," 4,091,425.00 "
WLCON PM Equity,BPI SECURITIES CORPORATION ," 3,543,275.00 "
WLCON PM Equity,"SB EQUITIES,INC. "," 3,415,727.00 "
WLCON PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT ," 3,145,800.00 "
WLCON PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT. ," 3,125,550.00 "
WLCON PM Equity,"JSG SECURITIES, INC. "," 3,009,400.00 "
WLCON PM Equity,CHINA BANK SECURITIES CORPORATION ," 2,545,200.00 "
WLCON PM Equity,UNICAPITAL SECURITIES INC. ," 2,434,250.00 "
WLCON PM Equity,PNB TRUST BANKING GROUP ," 1,943,400.00 "
WLCON PM Equity,TRITON SECURITIES CORP. ," 1,901,900.00 "
WLCON PM Equity,PHILSTOCKS FINANCIAL INC ," 1,719,590.00 "
WLCON PM Equity,"MAYBANK SECURITIES, INC. "," 1,705,700.00 "
WLCON PM Equity,DAVID GO SECURITIES CORP. ," 1,558,200.00 "
WLCON PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP ," 1,517,000.00 "
WLCON PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC. "," 1,488,937.00 "
WLCON PM Equity,"REGIS PARTNERS, INC. "," 1,226,743.00 "
WLCON PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION ," 1,211,100.00 "
WLCON PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION ," 1,185,800.00 "
WLCON PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP ," 1,174,400.00 "
WLCON PM Equity,"HDI SECURITIES, INC. "," 1,166,600.00 "
WLCON PM Equity,"RCBC SECURITIES, INC. "," 1,115,240.00 "
WLCON PM Equity,STAR ALLIANCE SECURITIES CORP. ," 1,070,000.00 "
WLCON PM Equity,"SOLAR SECURITIES, INC. "," 901,800.00 "
WLCON PM Equity,"YAO & ZIALCITA, INC. "," 846,500.00 "
WLCON PM Equity,"YU & COMPANY, INC. "," 798,600.00 "
WLCON PM Equity,"ASIASEC EQUITIES, INC. "," 784,000.00 "
WLCON PM Equity,RCBC TRUST CORPORATION ," 656,500.00 "
WLCON PM Equity,"PNB SECURITIES, INC. "," 639,600.00 "
WLCON PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION ," 608,200.00 "
WLCON PM Equity,VALUE QUEST SECURITIES CORPORATION ," 602,000.00 "
WLCON PM Equity,"E. CHUA CHIACO SECURITIES, INC. "," 575,400.00 "
WLCON PM Equity,BDO-TIG SECURITIES SERVICES ," 473,200.00 "
WLCON PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP ," 463,500.00 "
WLCON PM Equity,"TOWER SECURITIES, INC. "," 458,800.00 "
WLCON PM Equity,STANDARD SECURITIES CORPORATION ," 436,100.00 "
WLCON PM Equity,AP SECURITIES INCORPORATED ," 430,300.00 "
WLCON PM Equity,"LANDBANK SECURITIES, INC. "," 398,500.00 "
WLCON PM Equity,OPTIMUM SECURITIES CORPORATION ," 397,100.00 "
WLCON PM Equity,PAPA SECURITIES CORPORATION ," 394,300.00 "
WLCON PM Equity,"SunSecurities, Inc. "," 390,500.00 "
WLCON PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION ," 381,250.00 "
WLCON PM Equity,RCBC TRUST CORPORATION ," 373,400.00 "
WLCON PM Equity,"A & A SECURITIES, INC. "," 357,400.00 "
WLCON PM Equity,CHINA BANKING CORPORATION - TRUST GROUP ," 347,100.00 "
WLCON PM Equity,"CTS GLOBAL EQUITY GROUP, INC. "," 320,800.00 "
WLCON PM Equity,"AURORA SECURITIES, INC. "," 311,200.00 "
WLCON PM Equity,"SUMMIT SECURITIES, INC. "," 258,000.00 "
WLCON PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED "," 253,400.00 "
WLCON PM Equity,"LUCKY SECURITIES, INC. "," 251,300.00 "
WLCON PM Equity,"RTG & COMPANY, INC. "," 250,600.00 "
WLCON PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP. ," 243,500.00 "
WLCON PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC. "," 236,000.00 "
WLCON PM Equity,"ANSALDO, GODINEZ & CO., INC. "," 219,600.00 "
WLCON PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC. "," 218,400.00 "
WLCON PM Equity,"TIMSON SECURITIES, INC. "," 207,900.00 "
WLCON PM Equity,"TANSENGCO & CO., INC. "," 199,000.00 "
WLCON PM Equity,"MERIDIAN SECURITIES, INC. "," 187,200.00 "
WLCON PM Equity,"BELSON SECURITIES, INC. "," 179,800.00 "
WLCON PM Equity,"R. S. LIM & CO., INC. "," 163,300.00 "
WLCON PM Equity,"PREMIUM SECURITIES, INC. "," 155,000.00 "
WLCON PM Equity,"INVESTORS SECURITIES, INC, "," 151,900.00 "
WLCON PM Equity,"INTRA-INVEST SECURITIES, INC. "," 141,200.00 "
WLCON PM Equity,PAN ASIA SECURITIES CORP. ," 141,000.00 "
WLCON PM Equity,VC SECURITIES CORPORATION ," 122,600.00 "
WLCON PM Equity,APEX PHILIPPINES EQUITIES CORPORATION ," 115,700.00 "
WLCON PM Equity,CUALOPING SECURITIES CORPORATION ," 110,000.00 "
WLCON PM Equity,"LUYS SECURITIES COMPANY, INC. "," 110,000.00 "
WLCON PM Equity,"PHILIPPINE EQUITY PARTNERS, INC. "," 105,746.00 "
WLCON PM Equity,"FIDELITY SECURITIES, INC. "," 100,000.00 "
WLCON PM Equity,"BERNAD SECURITIES, INC. "," 100,000.00 "
WLCON PM Equity,"UCPB GENERAL INSURANCE CO., INC. "," 100,000.00 "
WLCON PM Equity,"F. YAP SECURITIES, INC. "," 99,000.00 "
WLCON PM Equity,"G.D. TAN & COMPANY, INC. "," 98,800.00 "
WLCON PM Equity,STRATEGIC EQUITIES CORP. ," 98,600.00 "
WLCON PM Equity,"R. COYIUTO SECURITIES, INC. "," 98,600.00 "
WLCON PM Equity,A. T. DE CASTRO SECURITIES CORP. ," 95,000.00 "
WLCON PM Equity,ALPHA SECURITIES CORP. ," 92,300.00 "
WLCON PM Equity,"DA MARKET SECURITIES, INC. "," 89,700.00 "
WLCON PM Equity,"GOLDSTAR SECURITIES, INC. "," 87,000.00 "
WLCON PM Equity,"FIRST ORIENT SECURITIES, INC. "," 82,800.00 "
WLCON PM Equity,"DIVERSIFIED SECURITIES, INC. "," 80,000.00 "
WLCON PM Equity,UPCC SECURITIES CORP. ," 79,500.00 "
WLCON PM Equity,MANDARIN SECURITIES CORPORATION ," 79,100.00 "
WLCON PM Equity,"SUPREME STOCKBROKERS, INC "," 78,000.00 "
WLCON PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds ," 74,789.00 "
WLCON PM Equity,"NEW WORLD SECURITIES CO., INC. "," 67,600.00 "
WLCON PM Equity,"GUILD SECURITIES, INC. "," 66,900.00 "
WLCON PM Equity,"EAGLE EQUITIES, INC. "," 66,000.00 "
WLCON PM Equity,ALAKOR SECURITIES CORPORATION ," 65,000.00 "
WLCON PM Equity,"IMPERIAL,DE GUZMAN,ABALOS & CO.,INC. "," 64,200.00 "
WLCON PM Equity,"UNITED FUND, INC. "," 61,700.00 "
WLCON PM Equity,"COHERCO SECURITIES, INC. "," 58,000.00 "
WLCON PM Equity,"H. E. BENNETT SECURITIES, INC. "," 57,100.00 "
WLCON PM Equity,"LUNA SECURITIES, INC. "," 47,700.00 "
WLCON PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP. ," 43,000.00 "
WLCON PM Equity,"BA SECURITIES, INC. "," 41,000.00 "
WLCON PM Equity,"COCOPLANS, INC. "," 37,000.00 "
WLCON PM Equity,"VENTURE SECURITIES, INC. "," 35,800.00 "
WLCON PM Equity,"LITONJUA SECURITIES, INC. "," 34,000.00 "
WLCON PM Equity,"WESTLINK GLOBAL EQUITIES, INC. "," 31,100.00 "
WLCON PM Equity,"DRAGONFI SECURITIES, INC. "," 21,676.00 "
WLCON PM Equity,"I. B. GIMENEZ SECURITIES, INC. "," 19,400.00 "
WLCON PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC. "," 17,500.00 "
WLCON PM Equity,"CAMPOS, LANUZA & COMPANY, INC. "," 17,300.00 "
WLCON PM Equity,SALISBURY SECURITIES CORPORATION ," 17,098.00 "
WLCON PM Equity,MERCANTILE SECURITIES CORP. ," 17,000.00 "
WLCON PM Equity,"SECURITIES SPECIALISTS, INC. "," 11,100.00 "
WLCON PM Equity,"PLATINUM SECURITIES, INC. "," 10,000.00 "
WLCON PM Equity,WONG SECURITIES CORPORATION ," 10,000.00 "
WLCON PM Equity,"EQUITIWORLD SECURITIES, INC. "," 8,000.00 "
WLCON PM Equity,"MDR SECURITIES, INC. "," 8,000.00 "
WLCON PM Equity,STERLING BANK OF ASIA TRUST GROUP ," 4,400.00 "
WLCON PM Equity,"MOUNT PEAK SECURITIES, INC. "," 2,000.00 "
WLCON PM Equity,"R & L INVESTMENTS, INC. "," 2,000.00 "
WLCON PM Equity,ASTRA SECURITIES CORPORATION ," 1,576.00 "
WLCON PM Equity,"SARANGANI SECURITIES, INC. ", 900.00 
AGI PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 654,995,694.00 "
AGI PM Equity,CITIBANK N.A.," 425,630,820.00 "
AGI PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 383,440,714.00 "
AGI PM Equity,STANDARD CHARTERED BANK," 248,704,382.00 "
AGI PM Equity,SOCIAL SECURITY SYSTEM," 186,381,574.00 "
AGI PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 186,048,721.00 "
AGI PM Equity,BDO SECURITIES CORPORATION," 118,983,790.00 "
AGI PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 74,133,638.00 "
AGI PM Equity,"COL Financial Group, Inc."," 54,438,895.00 "
AGI PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 35,425,422.00 "
AGI PM Equity,ABACUS SECURITIES CORPORATION," 31,332,605.00 "
AGI PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 22,799,672.00 "
AGI PM Equity,BPI SECURITIES CORPORATION," 17,242,706.00 "
AGI PM Equity,PAPA SECURITIES CORPORATION," 15,867,400.00 "
AGI PM Equity,"AURORA SECURITIES, INC."," 15,187,445.00 "
AGI PM Equity,STANDARD SECURITIES CORPORATION," 11,252,000.00 "
AGI PM Equity,VALUE QUEST SECURITIES CORPORATION," 11,179,100.00 "
AGI PM Equity,"TOWER SECURITIES, INC."," 8,967,000.00 "
AGI PM Equity,"HDI SECURITIES, INC."," 8,849,900.00 "
AGI PM Equity,"R. NUBLA SECURITIES, INC."," 8,693,200.00 "
AGI PM Equity,MBTC - TRUST BANKING GROUP," 8,691,400.00 "
AGI PM Equity,"WEALTH SECURITIES, INC."," 8,071,556.00 "
AGI PM Equity,PHILSTOCKS FINANCIAL INC," 7,253,879.00 "
AGI PM Equity,"SB EQUITIES, INC."," 6,859,700.00 "
AGI PM Equity,"MAYBANK SECURITIES, INC."," 6,702,580.00 "
AGI PM Equity,"CLSA PHILIPPINES, INC."," 6,600,000.00 "
AGI PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 6,044,400.00 "
AGI PM Equity,PNB TRUST BANKING GROUP," 5,265,641.00 "
AGI PM Equity,"ASIASEC EQUITIES, INC."," 5,263,600.00 "
AGI PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 5,002,405.00 "
AGI PM Equity,CENTURY SECURITIES CORPORATION," 4,817,000.00 "
AGI PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 4,775,513.00 "
AGI PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC."," 4,392,500.00 "
AGI PM Equity,STAR ALLIANCE SECURITIES CORP.," 3,950,000.00 "
AGI PM Equity,"RCBC SECURITIES, INC."," 3,716,400.00 "
AGI PM Equity,CHINA BANK SECURITIES CORPORATION," 3,636,900.00 "
AGI PM Equity,"AB CAPITAL SECURITIES, INC."," 3,028,875.00 "
AGI PM Equity,LAND BANK OF THE PHILIPPINES," 3,000,000.00 "
AGI PM Equity,UNICAPITAL SECURITIES INC.," 2,904,561.00 "
AGI PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 2,819,800.00 "
AGI PM Equity,DAVID GO SECURITIES CORP.," 2,763,400.00 "
AGI PM Equity,"SOLAR SECURITIES, INC."," 2,757,100.00 "
AGI PM Equity,"F. YAP SECURITIES, INC."," 2,612,700.00 "
AGI PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 2,562,600.00 "
AGI PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 2,543,300.00 "
AGI PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 2,469,200.00 "
AGI PM Equity,"EAGLE EQUITIES, INC."," 2,319,800.00 "
AGI PM Equity,AP SECURITIES INCORPORATED," 2,275,011.00 "
AGI PM Equity,"WESTLINK GLOBAL EQUITIES, INC."," 2,153,300.00 "
AGI PM Equity,"SUMMIT SECURITIES, INC."," 2,117,900.00 "
AGI PM Equity,PAN ASIA SECURITIES CORP.," 2,047,000.00 "
AGI PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 2,023,225.00 "
AGI PM Equity,"UCPB GENERAL INSURANCE CO., INC."," 2,004,200.00 "
AGI PM Equity,"GOLDSTAR SECURITIES, INC."," 1,704,800.00 "
AGI PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 1,687,600.00 "
AGI PM Equity,"ANSALDO, GODINEZ & CO., INC."," 1,630,300.00 "
AGI PM Equity,"PREMIUM SECURITIES, INC."," 1,587,800.00 "
AGI PM Equity,"MDR SECURITIES, INC."," 1,540,700.00 "
AGI PM Equity,"R. COYIUTO SECURITIES, INC."," 1,422,400.00 "
AGI PM Equity,"TANSENGCO & CO., INC."," 1,388,863.00 "
AGI PM Equity,"SunSecurities, Inc."," 1,353,300.00 "
AGI PM Equity,"PNB SECURITIES, INC."," 1,307,940.00 "
AGI PM Equity,"LUCKY SECURITIES, INC."," 1,148,500.00 "
AGI PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 1,065,500.00 "
AGI PM Equity,TRITON SECURITIES CORP.," 1,063,800.00 "
AGI PM Equity,"UNITED FUND, INC."," 1,061,100.00 "
AGI PM Equity,MANDARIN SECURITIES CORPORATION," 1,055,700.00 "
AGI PM Equity,APEX PHILIPPINES EQUITIES CORPORATION," 1,032,800.00 "
AGI PM Equity,"BA SECURITIES, INC."," 1,032,100.00 "
AGI PM Equity,"A & A SECURITIES, INC."," 1,021,002.00 "
AGI PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 984,500.00 "
AGI PM Equity,"JSG SECURITIES, INC."," 933,900.00 "
AGI PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 925,092.00 "
AGI PM Equity,"BELSON SECURITIES, INC."," 865,500.00 "
AGI PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC."," 854,578.00 "
AGI PM Equity,"MERIDIAN SECURITIES, INC."," 853,000.00 "
AGI PM Equity,"FIRST ORIENT SECURITIES, INC."," 823,700.00 "
AGI PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 713,000.00 "
AGI PM Equity,"SUPREME STOCKBROKERS, INC"," 685,600.00 "
AGI PM Equity,"YU & COMPANY, INC."," 681,900.00 "
AGI PM Equity,"LANDBANK SECURITIES, INC."," 663,600.00 "
AGI PM Equity,A. T. DE CASTRO SECURITIES CORP.," 645,700.00 "
AGI PM Equity,"INVESTORS SECURITIES, INC."," 641,300.00 "
AGI PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP," 590,200.00 "
AGI PM Equity,UPCC SECURITIES CORP.," 558,900.00 "
AGI PM Equity,"R. S. LIM & CO., INC."," 534,000.00 "
AGI PM Equity,"DA MARKET SECURITIES, INC."," 502,000.00 "
AGI PM Equity,SALISBURY SECURITIES CORPORATION," 477,053.00 "
AGI PM Equity,ASTRA SECURITIES CORPORATION," 448,500.00 "
AGI PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 435,200.00 "
AGI PM Equity,OPTIMUM SECURITIES CORPORATION," 422,600.00 "
AGI PM Equity,"YAO & ZIALCITA, INC."," 375,000.00 "
AGI PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 357,400.00 "
AGI PM Equity,MERCANTILE SECURITIES CORP.," 335,000.00 "
AGI PM Equity,VC SECURITIES CORPORATION," 320,100.00 "
AGI PM Equity,"G.D. TAN & COMPANY, INC."," 289,600.00 "
AGI PM Equity,"IMPERIAL, DE GUZMAN, ABALOS & CO., INC."," 255,500.00 "
AGI PM Equity,"DRAGONFI SECURITIES, INC."," 231,348.00 "
AGI PM Equity,"INTRA-INVEST SECURITIES, INC."," 223,400.00 "
AGI PM Equity,"GUILD SECURITIES, INC."," 220,400.00 "
AGI PM Equity,"PLATINUM SECURITIES, INC."," 215,000.00 "
AGI PM Equity,"VENTURE SECURITIES, INC."," 211,600.00 "
AGI PM Equity,"LUNA SECURITIES, INC."," 210,536.00 "
AGI PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 206,711.00 "
AGI PM Equity,ALPHA SECURITIES CORP.," 163,200.00 "
AGI PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 152,522.00 "
AGI PM Equity,"I. B. GIMENEZ SECURITIES, INC."," 114,600.00 "
AGI PM Equity,"DIVERSIFIED SECURITIES, INC."," 110,300.00 "
AGI PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP.," 109,500.00 "
AGI PM Equity,"FIDELITY SECURITIES, INC."," 108,400.00 "
AGI PM Equity,"SECURITIES SPECIALISTS, INC."," 100,000.00 "
AGI PM Equity,"RTG & COMPANY, INC."," 95,800.00 "
AGI PM Equity,"TIMSON SECURITIES, INC."," 92,000.00 "
AGI PM Equity,"H. E. BENNETT SECURITIES, INC."," 88,100.00 "
AGI PM Equity,"LUYS SECURITIES COMPANY, INC."," 85,900.00 "
AGI PM Equity,"COCOPLANS, INC."," 83,000.00 "
AGI PM Equity,B. H. CHUA SECURITIES CORPORATION," 81,300.00 "
AGI PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 78,100.00 "
AGI PM Equity,"S.J. ROXAS & CO., INC."," 57,800.00 "
AGI PM Equity,"NEW WORLD SECURITIES CO., INC."," 57,500.00 "
AGI PM Equity,IGC SECURITIES INC.," 52,300.00 "
AGI PM Equity,"REGIS PARTNERS, INC."," 44,699.00 "
AGI PM Equity,"LARRGO SECURITIES CO., INC."," 43,000.00 "
AGI PM Equity,STRATEGIC EQUITIES CORP.," 40,050.00 "
AGI PM Equity,CUALOPING SECURITIES CORPORATION," 34,500.00 "
AGI PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 30,000.00 "
AGI PM Equity,"ARMSTRONG SECURITIES, INC."," 30,000.00 "
AGI PM Equity,RCBC TRUST CORPORATION," 24,900.00 "
AGI PM Equity,"EQUITIWORLD SECURITIES, INC."," 21,900.00 "
AGI PM Equity,SINCERE SECURITIES CORPORATION," 16,300.00 "
AGI PM Equity,WONG SECURITIES CORPORATION," 15,000.00 "
AGI PM Equity,ALAKOR SECURITIES CORPORATION," 10,000.00 "
AGI PM Equity,RCBC TRUST CORPORATION," 10,000.00 "
AGI PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC."," 8,000.00 "
AGI PM Equity,EAST WEST CAPITAL CORPORATION," 5,500.00 "
AGI PM Equity,"R & L INVESTMENTS, INC."," 3,000.00 "
AGI PM Equity,"I. ACKERMAN & CO., INC."," 1,698.00 "
AGI PM Equity,"SARANGANI SECURITIES, INC."," 1,200.00 "
AGI PM Equity,"HK SECURITIES, INC."," 1,000.00 "
AGI PM Equity,"MOUNT PEAK SECURITIES, INC."," 1,000.00 "
NIKL PM Equity,UPCC SECURITIES CORP.," 2,014,505.00 "
NIKL PM Equity,"A & A SECURITIES, INC."," 12,373,424.00 "
NIKL PM Equity,ABACUS SECURITIES CORPORATION," 35,615,617.00 "
NIKL PM Equity,PHILSTOCKS FINANCIAL INC," 5,904,547.00 "
NIKL PM Equity,A. T. DE CASTRO SECURITIES CORP.," 2,805,385.00 "
NIKL PM Equity,ALPHA SECURITIES CORP.," 1,289,800.00 "
NIKL PM Equity,"BA SECURITIES, INC."," 1,320,400.00 "
NIKL PM Equity,AP SECURITIES INCORPORATED," 5,973,295.00 "
NIKL PM Equity,"ANSALDO, GODINEZ & CO., INC."," 8,004,669.00 "
NIKL PM Equity,"AB CAPITAL SECURITIES, INC."," 10,038,156.00 "
NIKL PM Equity,"SARANGANI SECURITIES, INC."," 116,820.00 "
NIKL PM Equity,"SB EQUITIES, INC."," 203,633,304.00 "
NIKL PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP.," 1,372,550.00 "
NIKL PM Equity,"ASIASEC EQUITIES, INC."," 437,032,940.00 "
NIKL PM Equity,ASTRA SECURITIES CORPORATION," 1,640,220.00 "
NIKL PM Equity,CHINA BANK SECURITIES CORPORATION," 7,496,165.00 "
NIKL PM Equity,"MACQUARIE CAPITAL SECURITIES (PHILIPPINES), INC."," 15,000.00 "
NIKL PM Equity,"BELSON SECURITIES, INC."," 9,546,518.00 "
NIKL PM Equity,B. H. CHUA SECURITIES CORPORATION," 661,250.00 "
NIKL PM Equity,BPI SECURITIES CORPORATION," 29,685,399.00 "
NIKL PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 14,893,871.00 "
NIKL PM Equity,SINCERE SECURITIES CORPORATION," 101,027.00 "
NIKL PM Equity,CENTURY SECURITIES CORPORATION," 1,600,500.00 "
NIKL PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 8,173,944.00 "
NIKL PM Equity,"LUNA SECURITIES, INC."," 414,200.00 "
NIKL PM Equity,TRITON SECURITIES CORP.," 1,884,770.00 "
NIKL PM Equity,IGC SECURITIES INC.," 27,287,448.00 "
NIKL PM Equity,CUALOPING SECURITIES CORPORATION," 310,633.00 "
NIKL PM Equity,DAVID GO SECURITIES CORP.," 1,786,034.00 "
NIKL PM Equity,"DIVERSIFIED SECURITIES, INC."," 2,301,913.00 "
NIKL PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 6,585,123.00 "
NIKL PM Equity,EAST WEST CAPITAL CORPORATION," 6,546,250.00 "
NIKL PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 3,743,936.00 "
NIKL PM Equity,"EQUITIWORLD SECURITIES, INC."," 1,442,870.00 "
NIKL PM Equity,"EVERGREEN STOCK BROKERAGE & SEC., INC."," 12,782,945.00 "
NIKL PM Equity,"FIRST ORIENT SECURITIES, INC."," 331,660.00 "
NIKL PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC."," 10,123.00 "
NIKL PM Equity,"F. YAP SECURITIES, INC."," 2,476,772.00 "
NIKL PM Equity,"AURORA SECURITIES, INC."," 544,210.00 "
